id,commented_sec,comment,is_emoticon
45077,21125.478,ｗｗｗｗｗ,False
45078,21125.496,ｗｗｗｗｗｗｗｗｗｗ,False
45079,21125.619,ｗｗｗｗｗｗ,False
45080,21125.657,ｗｗｗｗｗｗｗｗ,False
45081,21125.724,wwwwww,False
45082,21125.766,ジャンプしてホバーが楽よ,False
45083,21125.844,ｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗ,False
45084,21126.067,ｗｗｗｗｗｗ,False
45085,21126.488,ｗｗｗｗｗｗｗｗ,False
45086,21126.639,wwwww,False
45087,21126.828,いいね,False
45088,21126.839,ｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗ,False
45089,21127.505,WutFace WutFace WutFace,True
45090,21127.631,ｗｗｗｗｗｗ,False
45091,21127.767,wwwwwwwwwwwwwwww,False
45092,21128.555,絶叫ｗｗｗｗｗ,False
45093,21128.602,wwwwwwwwww,False
45094,21128.639,ｗｗｗｗｗｗｗｗｗｗｗ,False
45095,21128.789,ｗｗｗｗｗｗｗｗｗ,False
45096,21128.832,ｗｗ,False
45097,21128.987,いいね,False
45098,21129.976,ｗｗｗｗｗｗｗ,False
45099,21130.045,草,False
45100,21130.17,wwwwwwwwww,False
45101,21130.316,ｗｗｗｗｗｗｗｗｗｗｗｗｗｗ,False
45102,21130.338,wwwwwwww,False
45103,21130.45,wwwwwwwwwwwwww,False
45104,21130.505,wｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗ,False
45105,21130.668,shakaShakaa,True
45106,21131.112,はい、だめー,False
45107,21131.638,ｗｗｗｗｗｗｗｗｗｗ,False
45108,21131.754,子供だからこそ覚えいいんじゃ無いの？,False
45109,21131.756,おれもやったそれ,False
45110,21131.831,やるねえ宮本君,False
45111,21132.501,色んなところ登れるよな,False
45112,21132.882,LUL,True
45113,21132.902,マンタと砂鳥でキレ散らかすから大丈夫,False
45114,21133.162,ちゃんと注意してくれたのに,False
45115,21134.116,ｗｗｗｗｗｗｗｗｗｗ,False
45116,21134.472,ちょっとおもしろすぎ,False
45117,21134.86,昨日コントローラーぶっ壊しそうなったわ,False
45118,21135.411,直前で言うなw,False
45119,21135.605,初見殺し,False
45120,21136.341,ちなみにこのへんから既に操作ムズい,False
45121,21136.984,ほんとリアクションいいよな,False
45122,21137.59,その水死んでそう,False
45123,21138.092,あぶないデスヨ！,False
45124,21138.1,沼ってるやん,False
45125,21138.195,fallguys,False
45126,21138.784,はよ言えや,False
45127,21139.098,シャンシャイン懐かしいな。全クリしたな,False
45128,21139.568,ｗｗｗｗｗ,False
45129,21140.027,あぶないデスヨ！,False
45130,21140.21,きれいにひっかかるなあ,False
45131,21140.446,その内キレそうｗｗ,False
45132,21140.616,ステージ入るときの映像でナにやるかわかるよ,False
45133,21142.186,今どきの小学生より素直なリアクションで草,False
45134,21142.197,溝に落ちた時みたいな声,False
45135,21142.958,叫びすぎｗｗｗ,False
45136,21143.104,迫撃砲,False
45137,21145.065,おおすなどりでキレてるとこ見たい,False
45138,21145.851,お手本のようなプレイ,False
45139,21147.666,移動中の切り返しすぐにジャンプで高いジャンプできます,False
45140,21148.107,おーがちの神ゲーやってるやんけー,False
45141,21148.968,めっちゃ楽しんでて草,False
45142,21149.917,ホバー使えよｗ,False
45143,21151.534,あっぶね,False
45144,21151.864,ホバー使えって言われてるのにｗ,False
45145,21152.846,私は大砲よ,False
45146,21153.097,もっと叫んでくれていいのよｗｗ,False
45147,21154.107,ホバーは使わないと,False
45148,21154.88,－か＋で操作方法,False
45149,21154.973,説明はシカト,False
45150,21155.024,ホバーは使わないと,False
45151,21155.134,GCは説明書ありきで作られてるから教えないのは当然,False
45152,21155.615,マジ世代これ,False
45153,21155.678,みずでうくんだぞ,False
45154,21155.689,ホバー使ってあげて,False
45155,21155.951,ホバーしばりかなｗ,False
45156,21156.897,ｗｗｗｗｗｗｗｗｗ,False
45157,21157.117,ｗｗｗｗｗｗｗｗｗｗｗ,False
45158,21157.402,ｗｗｗｗｗｗｗｗｗ,False
45159,21157.462,ｗｗｗｗｗｗｗｗｗ,False
45160,21157.66,ｗｗｗｗｗｗｗｗｗｗｗ,False
45161,21157.738,丸無視で草,False
45162,21157.796,ｗｗｗｗｗｗｗｗｗｗ,False
45163,21157.807,LUL,True
45164,21158.033,ｗ,False
45165,21158.26,LUL,True
45166,21158.302,ｗｗｗｗｗｗｗｗｗｗ,False
45167,21158.313,ｗｗｗｗｗｗｗｗｗｗｗ,False
45168,21158.449,ｗｗｗｗ,False
45169,21158.47,ｗｗｗｗｗ,False
45170,21158.48,ホバー縛り？,False
45171,21158.715,ｗｗｗｗｗｗｗｗｗｗｗ,False
45172,21158.905,ｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗ,False
45173,21158.91,wwwwwwwwww,False
45174,21158.924,ステージ名とステージ始まる時のムービーでそのステージの目的が分かります,False
45175,21158.934,ええええええええ,False
45176,21158.965,ｗｗｗｗｗｗｗｗｗｗｗ,False
45177,21159.085,LUL,True
45178,21159.211,ｗｗｗｗｗｗｗｗｗ,False
45179,21159.289,shakaShakaa shakaShakaa,True
45180,21159.355,ｗｗｗｗ,False
45181,21159.358,ｗｗｗｗ,False
45182,21159.365,ｗｗｗｗｗｗ,False
45183,21159.384,ホバーは使わないとww,False
45184,21159.426,ｗｗｗｗｗｗ,False
45185,21159.545,ｗｗｗｗｗｗｗｗ,False
45186,21159.815,ｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗ,False
45187,21159.876,ｗｗｗｗｗｗｗｗｗｗｗｗｗ,False
45188,21159.898,ｗｗｗｗｗ,False
45189,21160.062,ｗｗｗｗｗ,False
45190,21160.078,ｗｗｗｗｗｗｗｗ,False
45191,21160.105,ｗｗｗｗｗｗｗｗｗｗｗｗｗ,False
45192,21160.195,ｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗ,False
45193,21160.451,wwwwwwwwwwwwwwwww,False
