id,commented_sec,comment,is_emoticon
3636,5551.577,常にいるじゃんあのゲーム…,False
3637,5551.92,プラチナもあかんの?,False
3638,5552.019,もうあんなんなったら常人は引退する,False
3639,5552.861,スプリット２は魔境なり,False
3640,5553.12,Cのもの,False
3641,5557.275,なえっぴ,False
3642,5557.538,けいちゃんなえなえ,False
3643,5558.899,公式がＣ,False
3644,5559.444,つまりギアさんのvalorantもっと見れる？,False
3645,5560.32,高橋体脂肪教えて,False
3646,5560.518,ヴァロも昨日プロの人がC当たってましたよ,False
3647,5561.185,CPEXになってしまった,False
3648,5562.045,エペが沈み行く舟ってどう思います？,False
3649,5564.799,猛者マッチじゃん,False
3650,5565.956,やっぱチートのいないゲームがいい見てても気分悪くならんし,False
3651,5567.205,valorantってCいないの？,False
3652,5567.997,レベル高そう,False
3653,5569.095,光？,False
3654,5570.438,How did the lions do today?,False
3655,5570.563,敵も芋ばっか,False
3656,5571.143,Cの者がイキイキできるゲームがapexしかない,False
3657,5571.466,挨拶ヨシ！,False
3658,5572.779,声出してこ,False
3659,5573.277,強そう,False
3660,5573.375,これクロスプレイいけるんか？ってなる,False
3661,5573.89,キンキャニのマップが狭すぎる,False
3662,5574.639,雰囲気◎,False
3663,5574.771,ああもう光しか見えない,False
3664,5574.869,アルブラやめちゃったしな...,False
3665,5575.197,胃が痛くなりそう,False
3666,5575.679,CPEXはもうだめだ,False
3667,5576.281,挨拶◎,False
3668,5577.677,エイペックス BibleThump,True
3669,5579.677,声出てる ナイス,False
3670,5580.654,あったけえ,False
3671,5580.705,nethさんいない？,False
3672,5581.125,光のチーム,False
3673,5582.892,みんなでヴァロやるべ,False
3674,5584.021,声出し〇,False
3675,5584.132,cが全くいないゲームなんて無いぞ,False
3676,5584.413,声だし〇,False
3677,5584.979,最近のヴァロのランク sageいらないの？前まで必須な感じだったけど,False
3678,5585.185,強い人はしゃべる,False
3679,5585.514,挨拶◎,False
3680,5588.311,喋れるタイプの仲間や！,False
3681,5588.339,礼儀正しいねえ,False
3682,5589.146,アスパラサイファーやれんのか？,False
3683,5589.199,C今はほとんどいませんよ,False
3684,5589.733,アルブラ1日でレディアントいってなかった？,False
3685,5590.486,PS4の人たちクロスプレイでC増えて萎えるんじゃないの？,False
3686,5590.818,さすが芋、雰囲気が違う,False
3687,5591.04,雰囲気いいね,False
3688,5594.578,雰囲気○,False
3689,5595.526,プラチナはぶっちゃけそんなにCinai,False
3690,5596.608,フォールガイズもだいぶ下火になってきましたね…,False
3691,5598.108,オッパイの話で盛り上がろう,False
3692,5599.537,その中央ワイヤもうちょい前がいくない？,False
3693,5602.215,なにそれださいw,False
3694,5602.337,雰囲気◯,False
3695,5602.43,やっぱいもはみんなしゃべるね,False
3696,5602.872,イモータルってこういうことだよなきっと,False
3697,5603.558,雰囲気〇,False
3698,5604.515,光のヴァロ始まった？,False
3699,5604.588,たのばろか！？,False
3700,5607.118,ピザついてるのかわいい,False
3701,5611.684,くう,False
3702,5612.615,敵もつえ,False
3703,5612.619,VCある野良いいねえ,False
3704,5614.766,報告〇,False
3705,5615.825,そのスキン僕のおちんちんみたい,False
3706,5618.378,ｗ,False
3707,5618.464,BibleThump,True
3708,5618.54,つうよ,False
3709,5618.542,ps4の人はそもそもクロスプレイしないんじゃない,False
3710,5618.685,声出てる勝ったな,False
3711,5618.923,あーーー,False
3712,5621.338,光www,False
3713,5623.499,PS4だけでやってればPCとマッチしないからセーフ,False
3714,5624.272,ふんいいんき〇,False
3715,5626.859,レレレ,False
3716,5626.874,今日3brある？,False
3717,5628.402,レレレ撃ち,False
3718,5629.59,BibleThump BibleThump,True
3719,5629.733,レレレったね,False
3720,5630.26,レレレしなかったか？？？ｗｗｗ,False
3721,5632.707,相手も声出し手相,False
3722,5634.316,れれれ想定した撃ち方？,False
3723,5634.848,バズライトイヤーの銃じゃん,False
3724,5636.476,関さん休業,False
3725,5638.243,敵のレベルやば,False
3726,5639.557,そのクラシック本当に100円の水鉄砲にしか見えない,False
3727,5639.841,過去一レレレしてた,False
3728,5640.582,apexかな？,False
3729,5640.925,つよ,False
3730,5641.799,レレレワロタ,False
3731,5642.39,バロでもエペ,False
3732,5645.456,🥔３いけー,False
3733,5646.974,声だしが足らなかった,False
3734,5647.169,ACE来るぞ,False
3735,5648.282,えぺってた,False
3736,5648.666,レレレ警察だ,False
3737,5649.3,関さんがお休みだから3brはないよ,False
3738,5649.958,APEX!?,False
3739,5650.715,うまーい,False
3740,5652.482,PEX撃ち,False
3741,5654.586,ここから,False
3742,5657.205,チーターVSコンバーターしてくれ,False
3743,5658.242,相手守り弱そうだな,False
3744,5660.258,OW!?,False
3745,5661.153,!ow,False
3746,5666.776,OW！？,False
